product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/campus-zoe-plus-women-s-casual-shoes-memory-foam-insole-pillo-slip-walking-women/p/itm9f8da9a2d2a4c?pid=SHOFZMTAHVBUSWZV&lid=LSTSHOFZMTAHVBUSWZVG6SVFZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=47426dc2-50b5-49fa-8d9f-e1ca37d96136.SHOFZMTAHVBUSWZV.SEARCH&ppt=sp&ppn=sp&ssid=0l871jyp740000001735941944797&qH=32e27b1148959538,ZOE PLUS Women's Casual Shoes | Memory Foam Insole with Pillo Foa...more,CAMPUS,699,0.13,4.1,22437
https://www.flipkart.com/asian-firefly-04-white-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itm508025c63da8f?pid=SHOGGG7EFPHQUJSV&lid=LSTSHOGGG7EFPHQUJSVN8ELGV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=TrendingId_osp%2Fiko%2Fd20&srno=s_2_45&otracker=search&otracker1=search&fm=Search&iid=5cce217a-ebf2-4cbd-9064-f2220ac1a767.SHOGGG7EFPHQUJSV.SEARCH&ppt=sp&ppn=sp&ssid=hgvptii5a80000001735941948444&qH=32e27b1148959538,"Firefly-04 White Sports,Gym,Jogging,Walking,Training,Stylish Runn...more",asian,832,0.44,4.1,25879
https://www.flipkart.com/campus-alice-women-s-sports-shoes-mesh-upper-anti-slip-sole-design-lace-up-running-women/p/itm06c26d2d834bb?pid=SHOFXNU8YDAHZHJW&lid=LSTSHOFXNU8YDAHZHJWLJEXDN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_59&otracker=search&otracker1=search&fm=Search&iid=5cce217a-ebf2-4cbd-9064-f2220ac1a767.SHOFXNU8YDAHZHJW.SEARCH&ppt=sp&ppn=sp&ssid=hgvptii5a80000001735941948444&qH=32e27b1148959538,ALICE Women's Sports Shoes | Mesh Upper with Anti Slip Sole Desig...more,CAMPUS,999,0.29,4.3,39220
https://www.flipkart.com/asian-firefly-04-grey-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itmb888fc9f72ffa?pid=SHOGGG7EFSV6G8MY&lid=LSTSHOGGG7EFSV6G8MY561B1I&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_62&otracker=search&otracker1=search&fm=Search&iid=en_MpI7reaWGFP4HD3Q_jti7cVrbzw4XMq7JBAQCXGb1JVbaMn1bY1Ut9Il2uhnV_bSnZgVYDNl2qKvaM6ICx58rKV8WX5krIChubBlraAu4CQ%3D&ppt=sp&ppn=sp&ssid=hgvptii5a80000001735941948444&qH=32e27b1148959538,"Firefly-04 Grey Sports,Gym,Jogging,Walking,Training,Stylish Runni...more",asian,832,0.44,4.1,25879
https://www.flipkart.com/campus-alice-women-s-sports-shoes-mesh-upper-anti-slip-sole-design-lace-up-running-women/p/itm369cd84760fc5?pid=SHOFXNU8HUYGQDGK&lid=LSTSHOFXNU8HUYGQDGK827KNT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_66&otracker=search&otracker1=search&fm=Search&iid=5cce217a-ebf2-4cbd-9064-f2220ac1a767.SHOFXNU8HUYGQDGK.SEARCH&ppt=sp&ppn=sp&ssid=hgvptii5a80000001735941948444&qH=32e27b1148959538,ALICE Women's Sports Shoes | Mesh Upper with Anti Slip Sole Desig...more,CAMPUS,999,0.29,4.3,39220
https://www.flipkart.com/aygo-gel-12-light-weight-sports-walking-jogging-running-shoes-women/p/itmc6e6de1c5b776?pid=SHOGYJ8UWZHBAGMP&lid=LSTSHOGYJ8UWZHBAGMPMLGYX5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_3_88&otracker=search&otracker1=search&fm=Search&iid=en_h7-rGblvcj_vglhuUYM18IZWSWj5Ps0u4wqroQrndTB-o85h8XbGfmG-awbRnKRJeTtDupamxpnrTd1xifXMuw%3D%3D&ppt=sp&ppn=sp&ssid=gvqcv8l8000000001735941949888&qH=32e27b1148959538,"AYGO GEL-12 LIGHT WEIGHT SPORTS, WALKING, JOGGING Running Shoes F...more",AYGO,626,0.37,4.2,19
https://www.flipkart.com/campus-claire-women-s-sports-shoes-memory-foam-insole-cushioned-comfort-lace-up-running-women/p/itm1132567480963?pid=SHOFW9EZHGS9MTQA&lid=LSTSHOFW9EZHGS9MTQAGVFGZU&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_3_89&otracker=search&otracker1=search&fm=Search&iid=b722b6e3-525a-4d4d-ae98-a9845639c31a.SHOFW9EZHGS9MTQA.SEARCH&ppt=sp&ppn=sp&ssid=gvqcv8l8000000001735941949888&qH=32e27b1148959538,CLAIRE Women's Sports Shoes | Memory Foam Insole for Cushioned Co...more,CAMPUS,1099,0.21,4.3,47816
https://www.flipkart.com/campus-alice-women-s-sports-shoes-mesh-upper-anti-slip-sole-design-lace-up-running-women/p/itm6c7db23f2c8ff?pid=SHOFXNU8UH9HCESA&lid=LSTSHOFXNU8UH9HCESA1QO7VF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_3_95&otracker=search&otracker1=search&fm=Search&iid=b722b6e3-525a-4d4d-ae98-a9845639c31a.SHOFXNU8UH9HCESA.SEARCH&ppt=sp&ppn=sp&ssid=gvqcv8l8000000001735941949888&qH=32e27b1148959538,ALICE Women's Sports Shoes | Mesh Upper with Anti Slip Sole Desig...more,CAMPUS,999,0.29,4.3,39220
https://www.flipkart.com/campus-alice-women-s-sports-shoes-mesh-upper-anti-slip-sole-design-lace-up-running-women/p/itm3f242fd24c96b?pid=SHOFXNU8MYHWBUKD&lid=LSTSHOFXNU8MYHWBUKDCEOR2H&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_3_102&otracker=search&otracker1=search&fm=Search&iid=en_h7-rGblvcj_vglhuUYM18IZWSWj5Ps0u4wqroQrndTC-qOkj8SLRtmd9rYtR_xsUH8Tizr93oJB_D7PIDVRZiYE8waCTrWcncKeK_ydPfoM%3D&ppt=sp&ppn=sp&ssid=gvqcv8l8000000001735941949888&qH=32e27b1148959538,ALICE Women's Sports Shoes | Mesh Upper with Anti Slip Sole Desig...more,CAMPUS,999,0.29,4.3,39220
https://www.flipkart.com/friend-s-traders-running-shoes-women/p/itm73676bad1ec97?pid=SHOGXRPJBTBXQVST&lid=LSTSHOGXRPJBTBXQVSTSPK3I6&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_4_126&otracker=search&otracker1=search&fm=Search&iid=496ffe0b-bd3c-4b34-b263-e6adc17a9d24.SHOGXRPJBTBXQVST.SEARCH&ppt=sp&ppn=sp&ssid=s2n6zhylds0000001735941951500&qH=32e27b1148959538,Running Shoes For Women,Friend's Traders,470,0.61,3.9,50
